,Date,pm25,co,no2
57,2019-01-01,142.0,132.0,112.0
73,2019-01-02,139.0,122.0,130.0
77,2019-01-03,139.0,106.0,118.0
10,2019-01-04,139.0,110.0,105.0
28,2019-01-05,144.0,115.0,120.0
63,2019-01-06,138.0,115.0,105.0
64,2019-01-07,131.0,110.0,89.0
39,2019-01-08,136.0,107.0,120.0
69,2019-01-09,139.0,110.0,105.0
21,2019-01-10,129.0,110.0,75.0
11,2019-01-11,119.0,100.0,85.0
58,2019-01-12,136.0,115.0,97.0
12,2019-01-13,141.0,110.0,101.0
29,2019-01-14,139.0,115.0,117.0
16,2019-01-15,139.0,111.0,118.0
1,2019-01-16,142.0,110.0,99.0
2,2019-01-17,138.0,115.0,113.0
45,2019-01-18,144.0,95.0,118.0
40,2019-01-19,144.0,115.0,104.0
36,2019-01-20,140.0,120.0,106.0
51,2019-01-21,128.0,120.0,75.0
46,2019-01-22,41.0,22.0,12.0
17,2019-01-28,53.0,45.0,45.0
52,2019-01-29,140.0,120.0,118.0
5,2019-01-30,140.0,120.0,116.0
53,2019-01-31,137.0,101.0,103.0
22,2019-02-01,143.0,116.0,108.0
18,2019-02-02,144.0,120.0,115.0
74,2019-02-03,143.0,115.0,103.0
37,2019-02-04,140.0,120.0,114.0
70,2019-02-05,137.0,120.0,116.0
30,2019-02-06,135.0,115.0,100.0
19,2019-02-07,140.0,120.0,100.0
31,2019-02-08,139.0,120.0,116.0
54,2019-02-09,130.0,113.0,62.0
82,2019-02-10,141.0,116.0,100.0
6,2019-02-11,136.0,120.0,99.0
13,2019-02-12,137.0,103.0,92.0
59,2019-02-13,131.0,104.0,115.0
32,2019-02-14,133.0,115.0,108.0
65,2019-02-15,142.0,115.0,97.0
3,2019-02-16,141.0,116.0,91.0
14,2019-02-17,135.0,108.0,104.0
4,2019-02-18,144.0,115.0,103.0
78,2019-02-19,138.0,116.0,89.0
71,2019-02-20,138.0,120.0,107.0
66,2019-02-21,144.0,110.0,97.0
61,2019-02-22,137.0,116.0,100.0
38,2019-02-23,144.0,115.0,120.0
62,2019-02-24,138.0,99.0,89.0
0,2019-02-25,133.0,116.0,74.0
15,2019-02-26,102.0,120.0,54.0
79,2019-02-27,118.0,115.0,87.0
47,2019-02-28,105.0,116.0,113.0
48,2019-03-01,107.0,120.0,120.0
49,2019-03-02,120.0,115.0,100.0
72,2019-03-03,120.0,116.0,118.0
67,2019-03-04,128.0,120.0,120.0
25,2019-03-05,141.0,115.0,103.0
60,2019-03-06,142.0,120.0,104.0
7,2019-03-07,136.0,116.0,106.0
83,2019-03-08,144.0,115.0,101.0
33,2019-03-09,143.0,120.0,120.0
26,2019-03-10,140.0,108.0,115.0
8,2019-03-11,130.0,114.0,89.0
55,2019-03-12,137.0,120.0,95.0
68,2019-03-13,139.0,118.0,115.0
80,2019-03-14,136.0,113.0,103.0
27,2019-03-15,142.0,120.0,111.0
56,2019-03-16,131.0,119.0,71.0
41,2019-03-17,133.0,114.0,52.0
42,2019-03-18,136.0,120.0,92.0
84,2019-03-19,142.0,120.0,106.0
34,2019-03-20,141.0,113.0,97.0
76,2019-03-21,137.0,116.0,116.0
23,2019-03-22,130.0,109.0,81.0
35,2019-03-23,134.0,114.0,48.0
85,2019-03-24,138.0,120.0,88.0
43,2019-03-25,139.0,119.0,102.0
24,2019-03-26,138.0,114.0,87.0
50,2019-03-27,137.0,113.0,105.0
81,2019-03-28,143.0,120.0,104.0
44,2019-03-29,143.0,115.0,101.0
75,2019-03-30,141.0,120.0,106.0
20,2019-03-31,128.0,102.0,71.0
97,2019-04-01,137.0,103.0,66.0
168,2019-04-02,136.0,116.0,97.0
91,2019-04-03,140.0,115.0,80.0
159,2019-04-04,131.0,115.0,63.0
144,2019-04-05,140.0,120.0,113.0
160,2019-04-06,143.0,120.0,99.0
145,2019-04-07,143.0,115.0,95.0
164,2019-04-08,142.0,112.0,110.0
124,2019-04-09,138.0,114.0,102.0
153,2019-04-10,140.0,114.0,82.0
169,2019-04-11,138.0,120.0,92.0
118,2019-04-12,141.0,118.0,109.0
136,2019-04-13,137.0,112.0,93.0
119,2019-04-14,142.0,120.0,104.0
154,2019-04-15,120.0,119.0,88.0
101,2019-04-16,134.0,95.0,58.0
161,2019-04-17,133.0,117.0,93.0
130,2019-04-18,140.0,119.0,103.0
